day,temperatureMax,temperatureMin,daylight
2013-11-21,7.91,3.12,30919
2013-08-12,20.39,13.57,53296
2013-12-24,11.93,5.43,28188
2013-01-16,-0.06,-2.32,30208
2013-07-13,29.16,15.01,58500
2013-11-17,9.57,8.28,31607
2013-05-03,19.71,4.48,53882
2013-08-25,22.74,13.18,50464
2013-03-27,3.82,-0.29,45468
2013-06-14,18.81,9.13,59759
2013-04-13,11.42,4.92,49461
2013-08-15,23.46,16.64,52661
2013-07-25,25.13,16.63,56744
2013-01-31,9.94,7.12,32846
2013-03-23,3.06,0.92,44515
2013-11-24,8.02,5.06,30440
2013-10-16,14.87,6.76,38371
2013-11-07,14.7,7.37,33532
2013-10-18,17.16,10.5,37911
2013-07-30,20.91,15.64,55864
2013-01-28,10.54,3.02,32261
2013-12-05,10.29,1.08,29023
2013-04-07,10.37,-1.21,48065
2013-05-30,14.69,10.79,58506
2013-07-29,22.36,16.48,56046
2013-04-03,4.09,0.48,47126
2013-07-17,30.28,17.14,57978
2013-08-01,32.4,16.98,55493
2013-02-09,3.68,1.58,34721
2013-01-26,7.56,2.37,31885
2013-12-29,7.56,0.72,28352
2013-08-19,22.02,12.68,51795
2013-07-03,19.69,14.31,59471
2013-02-27,6.11,2.33,38811
2013-03-09,8.01,3.88,41176
2013-07-06,26.47,13.48,59234
2013-12-30,10.22,6.4,28404
2013-03-13,6.42,1.14,42129
2013-12-03,7.22,3.66,29237
2013-06-18,20.33,13.33,59878
2013-01-05,10.66,7.84,28869
2013-06-02,18.83,9.72,58851
2013-09-03,23.92,14.04,48415
2013-09-08,16.86,9.13,47259
2013-08-05,22.72,16.23,54723
2013-02-05,6.44,2.16,33868
2013-08-23,26.03,16.34,50911
2013-03-21,6.27,1.18,44037
2013-10-06,19.19,8.76,40694
2013-11-06,14.87,9.31,33737
